GST Bible,Biblical unit of weight?,Shekel
GST Bible,Biblical unit of length?,Cubit
GST Bible,First book of Bible named after a tribe?,Leviticus
GST Bible,Book that tells of the destruction of Jerusalem?,Lamentations
GST Bible,First five books of Bible?,Pentateuch (Torah)
GST Bible,Last book of Old Testament?,Malachi
GST Bible,Shortest book of Old Testament?,Obadiah (servant of God)
GST Bible,"First book, alphabetically?",Amos
GST Bible,Last book alphabetically?,Zephaniah
GST Bible,Book with shortest name?,Job
GST Bible,Books named after women?,"Esther, Ruth"
GST Bible,"Book of wisdom, written by David?",Psalms
GST Bible,Book written by Solomon?,Proverbs
GST Bible,Animals that spoke?,"The serpent of Eden, Balaam’s ass"
GST Bible,Adam & Eve’s sons?,"Cain, Abel, Seth"
GST Bible,Oldest man?,Methuselah (969 years)
GST Bible,Hunter in Genesis?,Nimrod
GST Bible,Cities destroyed by fire & brimstone?,Sodom & Gomorrah
GST Bible,His wife was turned into a pillar of salt?,Lot
GST Bible,Tower in Genesis?,Tower of Babel
GST Bible,Noah’s sons?,"Shem, Ham, Japheth"
GST Bible,Mountain where ark came to rest?,Ararat
GST Bible,Birds Noah sent out from the ark?,"Dove, raven"
GST Bible,Father of Israel or The Father of Many Nations?,Abraham
GST Bible,Abraham’s wife?,Sarah
GST Bible,"Abraham’s oldest son, father of all Muslims?",Ishmael
GST Bible,"Abraham’s son, father of Jacob?",Isaac
GST Bible,Abraham’s nephew?,Lot
GST Bible,Isaac’s wife?,Rebekah
GST Bible,Isaac’s twin sons?,Jacob & Esau
GST Bible,He wrestled with an angel?,Jacob
GST Bible,Jacob’s wives?,Rachel & Leah
GST Bible,Rachel’s sons?,Joseph & Benjamin
GST Bible,Zipporah’s husband?,Moses
GST Bible,"Father of Zipporah, priest of the Midianites?",Jethro
GST Bible,Brother of Moses?,Aaron
GST Bible,Sister of Moses?,Miriam
GST Bible,Number of years the Israelites were in Egypt?,Four Hundred
GST Bible,Mountain where Moses received Ten Commandments?,Mount Sinai
GST Bible,Chest containing the Ten Commandments?,Ark of the Covenant
GST Bible,Food supplied to the Israelites?,Manna & quail
GST Bible,Land 'flowing with milk and honey'?,Canaan
GST Bible,Two spies Moses sent into Canaan?,Joshua & Caleb
GST Bible,Leader of Israelites after Moses?,Joshua
GST Bible,Walled city conquered by Joshua?,Jericho
GST Bible,He defeated the Midianites with 300 men?,Gideon
GST Bible,She was chosen by Xerxes of Persia to replace his queen?,Esther
GST Bible,This festival celebrates Esther’s accomplishments?,Purim
GST Bible,Esther’s cousin?,Mordecai
GST Bible,He devised a plot to kill the Jews of Persia?,Haman
GST Bible,Ruth’s mother-in-law?,Naomi
GST Bible,Ruth’s husband?,Boaz
GST Bible,God tested this righteous man from Uz?,Job
GST Bible,Warrior with incredible strength?,Samson
GST Bible,She betrayed Samson by cutting his hair?,Delilah
GST Bible,Samson & Delilah are in this book?,Judges
GST Bible,Prophet taken to heaven on a chariot of fire?,Elijah
GST Bible,"Prophet from Nineveh, swallowed by 'great fish'?",Jonah
GST Bible,Prophet who advised Saul?,Samuel
GST Bible,Prophetess who helped the Israelites in Canaan?,Deborah
GST Bible,Dogs ate her flesh?,Jezebel
GST Bible,Jezebel’s husband?,Ahab
GST Bible,Man taken to the Valley of the Bones?,Ezekiel
GST Bible,First king of Israel?,Saul
GST Bible,Saul’s son?,Jonathan
GST Bible,King after Saul?,David
GST Bible,David’s father?,Jesse
GST Bible,David slew this Philistine giant?,Goliath
GST Bible,David’s great grandmother?,Ruth
GST Bible,David’s love?,Bathsheba
GST Bible,"Bathsheba’s husband, sent off to war by David?",Uriah the Hittite
GST Bible,David’s sons?,"Absalom, Solomon"
GST Bible,David played this instrument?,Lyre (harp)
GST Bible,King of Babylon who destroyed Jerusalem?,Nebuchadnezzar
GST Bible,He interpreted Nebuchadnezzar’s dream?,Daniel
GST Bible,They were thrown into the fiery furnace?,"Shadrach, Meshach, Abednego"
GST Bible,He wrote Lamentations?,Jeremiah
GST Bible,Biblical horn?,Shofar
GST Bible,The four Gospels?,"Matthew, Mark, Luke, John"
GST Bible,Shortest Gospel?,Mark
GST Bible,Books that tell the story of Jesus’ birth?,Matthew & Luke
GST Bible,First book after Gospels?,Acts (of the Apostles)
GST Bible,Last book?,Revelation
GST Bible,Author of Revelation?,John
GST Bible,Author of Acts?,Luke ('The Beloved Physician')
GST Bible,The one who preceded Jesus?,John the Baptist
GST Bible,Mother of John the Baptist?,Elizabeth
GST Bible,Father of John the Baptist?,Zechariah
GST Bible,She called for the head of John the Baptist?,Salomé (not in the Bible)
GST Bible,Where John the Baptist baptized Jesus?,Jordan River
GST Bible,Jewish king who ordered the death of male babies?,Herod (the Great)
GST Bible,Birthplace of Jesus?,Bethlehem
GST Bible,Wise men who came to Bethlehem?,Magi (not used in Bible)
GST Bible,Names of the three wise men?,"Caspar, Balthazar, Melchior (not in the Bible)"
GST Bible,Gifts the wise men brought to Jesus?,"Gold, Frankincense, Myrrh"
GST Bible,Home city of Jesus?,Nazareth
GST Bible,Language of Jesus?,Aramaic
GST Bible,Mother of Jesus?,Mary
GST Bible,Mother of Mary?,Anne
GST Bible,Mary’s husband?,Joseph
GST Bible,Angel who appeared before Mary?,Gabriel
GST Bible,Jesus’ occupation?,Carpenter
GST Bible,City where Jesus performed first miracle?,Cana (turned water into wine)
GST Bible,Jesus’ sermon in Matthew?,Sermon on the Mount
GST Bible,Eight blessings found in the Sermon on the Mount?,Beatitudes
GST Bible,Parable about a lost son who returns home?,Prodigal Son
GST Bible,The first apostle?,Andrew
GST Bible,Apostle brothers who were fishermen?,Peter & Andrew
GST Bible,"Apostle brothers, 'the sons of thunder'?",John & James
GST Bible,Apostle Jesus called 'The Rock'?,Peter
GST Bible,Apostle who betrayed Jesus?,Judas Iscariot
GST Bible,Judas’ payment for his betrayal?,30 pieces of silver
GST Bible,How Judas died?,Hung himself
GST Bible,Tax collector Apostle?,Matthew
GST Bible,Apostle who doubted Jesus’s resurrection?,Thomas
GST Bible,Apostle who denied Jesus three times?,Peter
GST Bible,Apostle who replaced Judas?,Matthias
GST Bible,"Man who was stoned to death, first Christian martyr?",Stephen
GST Bible,Man Jesus raised from the dead?,Lazarus ('God has helped')
GST Bible,Place where Jesus was arrested?,Garden of Gethsemane
GST Bible,Where Garden of Gethsemane is located?,Mount of Olives
GST Bible,Crime Jesus was charged with?,Blasphemy
GST Bible,Man who defended Jesus?,Nicodemus
GST Bible,Judean Procurator; he 'washed his hands' of Jesus’ death?,Pontius Pilate
GST Bible,High priests that sent Jesus to Pilate?,Annas & Caiaphas
GST Bible,Criminal released instead of Jesus?,Barabbas
GST Bible,Hill where Jesus was crucified?,Calvary
GST Bible,Man who provided a tomb for Jesus?,Joseph of Arimathea
GST Bible,She witnessed Jesus’ resurrection?,Mary Magdalene
GST Bible,Number of days between Jesus’ resurrection & transfiguration?,Forty
GST Bible,The two who appeared at Jesus’ transfiguration?,Moses & Elijah
GST Bible,"Formerly Saul, he wrote much of New Testament?",Paul
GST Bible,Paul’s occupation?,Tentmaker
GST Bible,Island where Paul was shipwrecked?,Malta
GST Bible,The last battle in the book of Revelation?,Armageddon
GST Bible,The four horsemen of the apocalypse?,"War, Famine, Pestilence, Death"
GST Bible,Shortest verse in the Bible?,Jesus wept (John 11:35)
GST Bible,He led the Jewish people in recapturing their temple?,Judas Maccabeus
GST Bible,Biblical scrolls found in 1947?,Dead Sea Scrolls
GST Geography - Afghanistan,Capital & largest city?,Kabul
GST Geography - Afghanistan,Official languages?,"Pashtu, Afghan Persian (Dari)"
GST Geography - Afghanistan,Freedom fighters?,Mujahideen
GST Geography - Afghanistan,Former ruling party?,Taliban
GST Geography - Afghanistan,City named for Alexander the Great?,Kandahar
GST Geography - Afghanistan,Strategic valley?,Korangal Valley ('Valley of Death')
GST Geography - Afghanistan,Mountain pass to Pakistan?,Khyber Pass
GST Geography - Albania,Capital & largest city?,Tirana
GST Geography - Albania,Official language?,Albanian
GST Geography - Albania,Currency?,Lek
GST Geography - Albania,Royalty?,King Zog
GST Geography - Albania,Nobel Peace Prize winner?,"Mother Teresa (born in Skopje, Macedonia)"
GST Geography - Algeria,Capital & largest city?,Algiers
GST Geography - Algeria,Official language?,Arabic
GST Geography - Algeria,Currency?,Dinar
GST Geography - Algeria,Mountain chain?,Atlas Mountains
GST Geography - Algeria,Religion?,Sunni Muslim
GST Geography - Algeria,16th century fortress?,Kasbah
GST Geography - Algeria,French-Algerian writer & Nobel laureate?,Albert Camus
GST Geography - Andorra,Capital?,Andorra la Vella
GST Geography - Andorra,Mountains?,Pyrenees
GST Geography - Andorra,Principal language?,Catalan
GST Geography - Angola,Capital?,Luanda
GST Geography - Angola,Official language?,Portuguese
GST Geography - Antigua & Barbuda,Capital?,St. John’s
GST Geography - Antigua & Barbuda,Official language?,English
GST Geography - Argentina,Capital & largest city?,Buenos Aires
GST Geography - Argentina,Currency?,Peso
GST Geography - Argentina,Religion?,Roman Catholic
GST Geography - Argentina,Official language?,Spanish
GST Geography - Argentina,Desert?,Atacama (world’s driest place)
GST Geography - Argentina,Mountain?,"Aconcagua (summit in Argentina, but shared with Chile)"
