Game Show Trivia,"Paleolithic (3,000,000–8,000 B.C.), Mesolithic (8,000–2,700 B.C.), Neolithic (2,700–1,900 B.C.), Bronze Age (1,900–500 B.C.), Iron Age (500–51 B.C.)",What are the five ages of prehistory and their dates?,,
Game Show Trivia,The tomb of Egyptian Pharaoh Khufu; oldest and only surviving wonder.,What is the Great Pyramid of Giza?,,
Game Show Trivia,"A legendary garden on the Euphrates, attributed to Nebuchadnezzar II, though undocumented in Babylonian sources.",What were the Hanging Gardens of Babylon?,,
Game Show Trivia,"A statue carved by Phidias in 422 B.C., smallest of the Seven Wonders; destroyed by fire in the 5th century A.D.",What was the Statue of Zeus at Olympia?,,
Game Show Trivia,A temple in Asia Minor built around 800 B.C.; destroyed and rebuilt multiple times.,What was the Temple of Artemis at Ephesus?,,
Game Show Trivia,Tomb built for King Mausolus and his wife in 334 B.C.; destroyed by earthquake in 1401 A.D.,What was the Mausoleum at Halicarnassus?,,
Game Show Trivia,Statue of Helios built in 280 B.C.; destroyed by earthquake 56 years later.,What was the Colossus of Rhodes?,,
Game Show Trivia,Built in 290 B.C. by the Ptolemies; damaged by earthquakes and fell into ruin.,What was the Lighthouse (Pharos) at Alexandria?,,
Game Show Trivia,"Nile River valley, Indus River valley, Yellow River valley, Tigris & Euphrates Rivers region",What are the four earliest centers of civilization?,,
Game Show Trivia,"A human relative extinct for 24,000 years.",Who were the Neanderthals?,,
Game Show Trivia,A diminutive human relative found on the Indonesian island; also called 'the Hobbit'.,Who was the Flores Man?,,
Game Show Trivia,Human fossils found in China in the 1920s.,What is Peking Man?,,
Game Show Trivia,A human ancestor found in Germany in 1907.,What is Heidelberg Man?,,
Game Show Trivia,A human fossil found in Indonesia in 1891.,What is Java Man?,,
Game Show Trivia,"5,000-year-old human remains found in the Alps in 1991.",Who was the Ice Man (Ötzi)?,,
Game Show Trivia,A 3.1 million-year-old hominid found in Ethiopia.,Who was Lucy?,,
Game Show Trivia,A paleoanthropological hoax presented in London in 1912.,What was the Piltdown Man?,,
Game Show Trivia,"Jericho, c. 9,000 B.C.",What is the earliest known walled city?,,
Game Show Trivia,An ancient Sumerian city.,What was Ur?,,
Game Show Trivia,An ancient North African city.,What was Carthage?,,
Game Show Trivia,An ancient Sicilian city.,What was Syracuse?,,
Game Show Trivia,An ancient empire of the Tigris River Valley.,What was the Assyrian Empire?,,
Game Show Trivia,Ancient people of the Tigris-Euphrates region.,Who were the Sumerians?,,
Game Show Trivia,The capital of the Assyrian Empire.,What was Nineveh?,,
Game Show Trivia,Civilization of southern Mesopotamia.,What was Sumeria?,,
Game Show Trivia,"The earliest known writing system, developed by the Sumerians.",What is Cuneiform?,,
Game Show Trivia,An ancient city of Crete.,What was Knossos?,,
Game Show Trivia,An ancient city in Asia Minor.,What was Troy?,,
Game Show Trivia,Ancient land 'between two rivers'.,What does Mesopotamia mean?,,
Game Show Trivia,An ancient Mesopotamian city on the Euphrates River.,What was Babylon?,,
Game Show Trivia,A construction project in Egypt around 2600 B.C.,What was the Great Pyramid of Cheops (Khufu)?,,
Game Show Trivia,An Egyptian kingdom from 26th to 21st century B.C.,What was the Old Kingdom?,,
Game Show Trivia,An Egyptian dynasty that ruled from 323 to 30 B.C.,Who were the Ptolemies?,,
Game Show Trivia,Pharaoh of the Eighteenth Dynasty of Egypt.,Who was Akhenaten?,,
Game Show Trivia,Akhenaten’s wife.,Who was Nefertiti?,,
Game Show Trivia,Akhenaten’s son.,Who was King Tut (Tutankhamun)?,,
Game Show Trivia,An ancient Egyptian 'City of the Sun'.,What was Heliopolis?,,
Game Show Trivia,Ancient Egyptian capitals.,What were Memphis and Thebes?,,
Game Show Trivia,An ancient Egyptian book found in tombs.,What is the Book of the Dead?,,
Game Show Trivia,An ancient Egyptian obelisk.,What is Cleopatra’s Needle?,,
Game Show Trivia,An Egyptian insect talisman shaped like a beetle.,What is a scarab?,,
